companyNumber,companyName,status,incorporationDate,companyType,jurisdiction,registeredAddress,sicCodes,employeeCount,employeeCountSource,estimatedRevenue,revenueSource,estimatedValuation,valuationSource,id,createdAt,updatedAt,lastProcessed,processingStatus,dataQualityScore
"14584285","ABLE ROOFING LIMITED","active",Wed Jan 11 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,25,"estimated","3625000","estimated","4350000","estimated","3606fb12-0502-426f-a82f-20037a3731b7",Fri Aug 08 2025 11:17:37 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:37 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:37 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"08322273","ABLE 2 BUILD & SONS LIMITED","active",Fri Dec 07 2012 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41202,226,"estimated","48081500","estimated","69946562","estimated","d62572d7-a5b9-44af-8608-e193fdb320e1",Fri Aug 08 2025 11:17:36 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:36 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:36 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13945844","ABG T & L LTD","active",Tue Mar 01 2022 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81300,15,"estimated","1875000","estimated","2812500","estimated","8d0396d2-90d8-4364-86b2-6bcccf3af955",Fri Aug 08 2025 11:17:35 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:35 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:35 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11264813","ABCO ROOFING LIMITED","active",Tue Mar 20 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,38,"estimated","5510000","estimated","6942600","estimated","5a69e478-9c3e-4e17-831c-064bb5e54fc2",Fri Aug 08 2025 11:17:34 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:34 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:34 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13600487","ABBEYFIELDS GROUNDWORKS AND LANDSCAPING LIMITED","active",Fri Sep 03 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81300,15,"estimated","1875000","estimated","2953125","estimated","af7b2e12-386b-41da-b5d5-56ce0b64e820",Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11820658","AB ROOFING LTD","active",Mon Feb 11 2019 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43910,38,"estimated","5510000","estimated","6942600","estimated","194a57c6-03c1-46b3-9caa-5fa378650498",Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:33 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"04598214","A.B.HEATHER.CARPENTRY & JOINERY LTD","active",Fri Nov 22 2002 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],82990,15,"estimated","1875000","estimated","3515625","estimated","229c8c4a-0fd8-4214-b5c8-f8d58140190b",Fri Aug 08 2025 11:17:32 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:32 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:32 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13256852","AARON SMALL BUILDING WORKS LTD","dissolved",Wed Mar 10 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43999,25,"estimated","3625000","estimated","4567500","estimated","c3cdb5d4-a8ea-49b2-af82-048989562fa7",Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"SC656134","AA PLASTERING LIMITED","dissolved",Mon Mar 02 2020 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","scotland",[object Object],43310,25,"estimated","3625000","estimated","4567500","estimated","6e8832e8-0ed2-41fe-903e-4e485f8f8efa",Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:31 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11200902","AAA GROUNDWORKS LTD","active",Mon Feb 12 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43120,38,"estimated","5510000","estimated","6942600","estimated","11ee044b-5d0b-4e5e-a823-70f345b8f28e",Fri Aug 08 2025 11:17:30 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:30 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 11:17:30 GMT+0000 (Coordinated Universal Time),"completed","0.95"
