companyNumber,companyName,status,incorporationDate,companyType,jurisdiction,registeredAddress,sicCodes,employeeCount,employeeCountSource,estimatedRevenue,revenueSource,estimatedValuation,valuationSource,id,createdAt,updatedAt,lastProcessed,processingStatus,dataQualityScore
"06225776","DALI PRO SERVICES LIMITED","active",Wed Apr 25 2007 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43390,3,"estimated","122400","estimated","71787","estimated","1eea3ec8-08a2-41d7-b6d4-f0ab2bf3d366",Fri Aug 08 2025 12:30:39 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:39 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:39 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"01268077","DAKIN CONSTRUCTION LIMITED","active",Mon Jul 12 1976 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],42990,12,"estimated","900000","estimated","1117800","estimated","0e9ef888-05a1-4930-8db4-1af75292d28e",Fri Aug 08 2025 12:30:38 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:38 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:38 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13318377","BANKSY PLASTERING AND PROPERTY MAINTENANCE LTD","dissolved",Wed Apr 07 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43310,2,"estimated","72000","estimated","33048","estimated","9af0290d-8632-4efe-afbb-e4529d8136ca",Fri Aug 08 2025 12:30:36 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:36 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:36 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"07848333","DSB BUILDING SERVICES (SURREY) LTD","dissolved",Tue Nov 15 2011 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43999,3,"estimated","122400","estimated","67417","estimated","ccfa2573-4e07-4dc0-9957-4806c8376cba",Fri Aug 08 2025 12:30:35 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:35 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:35 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"15844141","PROPERTY MAINTENANCE & PEST CONTROL LTD","active",Wed Jul 17 2024 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],81291,98000,1,"estimated","26250","estimated","8367","estimated","bdda0f24-2c4f-407d-b3d5-033a5fd0b7ba",Fri Aug 08 2025 12:30:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:33 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:33 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"12357700","D M BUILDERS (MIDLANDS) LTD","dissolved",Tue Dec 10 2019 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41202,3,"estimated","158100","estimated","123365","estimated","1fea9198-996d-4d95-81a0-d0fbd66d267c",Fri Aug 08 2025 12:30:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:31 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:31 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"14707215","D JAMES BUILDING SERVICES LTD","active",Mon Mar 06 2023 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41202,3,"estimated","158100","estimated","120946","estimated","9cc1328a-444a-4835-94d2-a28380e99216",Fri Aug 08 2025 12:30:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:29 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:29 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"13563940","DPS GARDEN AND PROPERTY MAINTENANCE LIMITED","dissolved",Thu Aug 12 2021 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],43999,2,"estimated","72000","estimated","33048","estimated","4c9fc35f-e2df-485a-998b-77dbafac9e9f",Fri Aug 08 2025 12:30:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:27 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:27 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"11134060","D G ROGERS PLASTERING CONTRACTORS LTD.","active",Thu Jan 04 2018 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","england-wales",[object Object],41202,3,"estimated","158100","estimated","123365","estimated","97e824bb-d2b1-4809-8aa7-8fe2073ee833",Fri Aug 08 2025 12:30:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:26 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:26 GMT+0000 (Coordinated Universal Time),"completed","0.95"
"SC807104","DB PLASTERING SERVICES LTD","active",Tue Apr 16 2024 00:00:00 GMT+0000 (Coordinated Universal Time),"ltd","scotland",[object Object],43310,2,"estimated","72000","estimated","27540","estimated","83d2cd92-13a6-468b-ad15-a0e77d81e053",Fri Aug 08 2025 12:30:23 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:23 GMT+0000 (Coordinated Universal Time),Fri Aug 08 2025 12:30:23 GMT+0000 (Coordinated Universal Time),"completed","0.95"
